Candidates drawn for the June 26 debate,Polling criterion result[32]
Warren[note 2],16.3% (23 polls)
O'Rourke[note 2],10.3% (23 polls)
Booker[note 2],4.0% (23 polls)
Klobuchar[note 2],3.7% (23 polls)
Castro[note 2],2.0% (16 polls)
Gabbard,1.3% (11 polls)
Ryan,1.3% (9 polls)
Inslee,1.0% (9 polls)
de Blasio,1.0% (6 polls)
Delaney,1.0% (5 polls)
Average,4.2%
Candidates drawn for the June 27 debate,Polling criterion result[32]
Biden[note 2],37.7% (23 polls)
Sanders[note 2],26.7% (23 polls)
Buttigieg[note 2],13.0% (21 polls)
Harris[note 2],11.0% (23 polls)
Yang,1.7% (18 polls)
Gillibrand,1.3% (10 polls)
Hickenlooper,1.3% (9 polls)
Bennet,1.0% (4 polls)
Williamson,"1.0%, (4 polls)"
Swalwell,1.0% (3 polls)
Average,9.6%
